Building,ROOM,Type,Dept,Class,Title,Meeting_Dates,Meeting Days,Meeting_Times,Room_Capacity,Max_Enrl,Actual_Enrl,,,
URBN,205,CL,GENERAL POOL CLASSROOM,ELP 506,LSE COMPREHENSIVE EXAM,OCT 12-Dec 07,W,1600-1830,20,20,6,,,
,,,,,,,,,,,,,,
BDWY,218,CL,GENERAL POOL CLASSROOM,SPHR 587,ADVANCED TOPICS IN LITERACY,Sep 26-Dec 10,M,1730-1920,24,23,18,,,
BDWY,218,CL,GENERAL POOL CLASSROOM,LING 152,GRAMMAR & EDITING ACADEMIC WR,Sep 26-Dec 10,MW,0900-1005,24,22,21,,,
BDWY,218,CL,GENERAL POOL CLASSROOM,LING 152,GRAMMAR & EDITING ACADEMIC WR,Sep 26-Dec 10,MW,1015-1120,24,22,19,,,
BDWY,218,CL,GENERAL POOL CLASSROOM,LING 124,READING LEVEL 2,Sep 26-Dec 10,MW,1130-1235,24,20,18,,,
BDWY,218,CL,GENERAL POOL CLASSROOM,LING 124,READING LEVEL 2,Sep 26-Dec 10,MW,1245-1350,24,22,18,,,
BDWY,218,CL,GENERAL POOL CLASSROOM,LING 134,READING LEVEL 3,Sep 26-Dec 10,MW,1400-1505,24,22,17,,,
BDWY,218,CL,GENERAL POOL CLASSROOM,LING 170,SKILLS ENHANCEMENT,Sep 26-Dec 10,R,1200-1350,24,22,3,,,
BDWY,218,CL,GENERAL POOL CLASSROOM,LING 170,SKILLS ENHANCEMENT,Sep 26-Dec 10,T,1200-1350,24,22,11,,,
BDWY,218,CL,GENERAL POOL CLASSROOM,CS 399,SPST: ORNT TO COMP PRAC-LABII,Sep 26-Dec 10,TR,1000-1150,24,24,14,,,
BDWY,218,CL,GENERAL POOL CLASSROOM,PHL 416/ 516,THE RATIONALISTS,Sep 26-Dec 10,TR,1400-1550,24,24,21,,,
BDWY,218,CL,GENERAL POOL CLASSROOM,LING 156,PUBLIC SPEAKING NONNATIVE SPKR,Sep 26-Dec 10,TR,1600-1750,24,20,17,,,
BDWY,218,CL,GENERAL POOL CLASSROOM,ITP 528,SECONDARY WORLD LANG METHODS,Sep 26-Dec 10,W,1630-2020,24,24,15,,,
,,,,,,,,,,,,,,
BDWY,220,CL,GENERAL POOL CLASSROOM,LING 142,ADVANCED ENGLISH GRAMMAR,Sep 26-Dec 10,MWF,0900-1005,24,20,20,,,
BDWY,220,CL,GENERAL POOL CLASSROOM,LING 142,ADVANCED ENGLISH GRAMMAR,Sep 26-Dec 10,MWF,1015-1120,24,22,18,,,
BDWY,220,CL,GENERAL POOL CLASSROOM,LING 134,READING LEVEL 3,Sep 26-Dec 10,MWF,1130-1235,24,20,16,,,
BDWY,220,CL,GENERAL POOL CLASSROOM,LING 144,ACADEMIC READNG NONNATIVE SPKR,Sep 26-Dec 10,MWF,1245-1350,24,22,17,,,
BDWY,220,CL,GENERAL POOL CLASSROOM,LING 124,READING LEVEL 2,Sep 26-Dec 10,MWF,1400-1505,24,22,19,,,
BDWY,220,CL,GENERAL POOL CLASSROOM,LING 131,GRAMMAR/WRITING LEVEL 3,Sep 26-Dec 10,MWF,1515-1735,24,20,16,,,
BDWY,220,CL,GENERAL POOL CLASSROOM,LING 170,SKILLS ENHANCEMENT,Sep 26-Dec 10,R,1200-1350,24,20,20,,,
BDWY,220,CL,GENERAL POOL CLASSROOM,LING 170,SKILLS ENHANCEMENT,Sep 26-Dec 10,T,1200-1350,24,20,12,,,
BDWY,220,CL,GENERAL POOL CLASSROOM,SPHR 554,ADV SP SOUND DISORDERS,Sep 26-Dec 10,TR,1000-1150,24,24,23,,,
BDWY,220,CL,GENERAL POOL CLASSROOM,UNST 421,CAP: PORTLAND'S WATER,Sep 26-Dec 10,TR,1400-1550,24,22,23,,,
BDWY,220,CL,GENERAL POOL CLASSROOM,INTL 396,THE US & THE WORLD,Sep 26-Dec 10,TR,1600-1750,24,24,13,,,
BDWY,220,CL,GENERAL POOL CLASSROOM,CH 384,ORG CHEM WORKSHOP I,Sep 26-Dec 10,W,1800-1950,24,12,6,,,
,,,,,,,,,,,,,,
EB,95,CL,GENERAL POOL CLASSROOM,LING 111,GRAMMAR/WRITING LEVEL 1,Sep 26-Dec 10,MWF,0900-1120,24,20,18,,,
EB,95,CL,GENERAL POOL CLASSROOM,LING 104,PRE-ENTRY READING,Sep 26-Dec 10,MWF,1400-1545,24,20,12,,,
EB,95,CL,GENERAL POOL CLASSROOM,CH 384,ORG CHEM WORKSHOP I,Sep 26-Dec 10,R,1000-1150,24,12,10,,,
EB,95,CL,GENERAL POOL CLASSROOM,ASL 399,SPST: THIRD-YEAR ASL TM1,Sep 26-Dec 10,TR,1200-1350,24,24,10,,,
EB,95,CL,GENERAL POOL CLASSROOM,SPAN 102,FIRST-YEAR SPANISH TM2,Sep 26-Dec 10,TR,1640-1830,24,24,18,,,
,,,,,,,,,,,,,,
NH,472,CL,GENERAL POOL CLASSROOM,PH 299,SPST: WORKSHOP FOR PH 201,Sep 26-Dec 10,F,1015-1205,24,10,8,,,
NH,472,CL,GENERAL POOL CLASSROOM,RUS 111,INTRO FLAGSHIP STUDIES TM1,Sep 26-Dec 10,M,0900-1005,24,24,12,,,
NH,472,CL,GENERAL POOL CLASSROOM,PH 624,CLASSICAL MECHANICS,Sep 26-Dec 10,MW,1015-1205,24,24,20,,,
NH,472,CL,GENERAL POOL CLASSROOM,EC 592,APPL ADV MACROEC THRY,Sep 26-Dec 10,MW,1640-1830,24,15,6,,,
NH,472,CL,GENERAL POOL CLASSROOM,LING 154,ADVANCED ACADEMIC READING,Sep 26-Dec 10,MWF,1400-1505,24,20,21,,,
NH,472,CL,GENERAL POOL CLASSROOM,LING 170,SKILLS ENHANCEMENT,Sep 26-Dec 10,R,1200-1350,24,20,17,,,
NH,472,CL,GENERAL POOL CLASSROOM,LING 170,SKILLS ENHANCEMENT,Sep 26-Dec 10,T,1200-1350,24,20,19,,,
NH,472,CL,GENERAL POOL CLASSROOM,LING 155,DISCUSSION SKILLS NONNATIVE S,Sep 26-Dec 10,TR,1000-1150,24,20,18,,,
NH,472,CL,GENERAL POOL CLASSROOM,LING 156,PUBLIC SPEAKING NONNATIVE SPKR,Sep 26-Dec 10,TR,1400-1550,24,22,17,,,
NH,472,CL,GENERAL POOL CLASSROOM,AR 420/ 520,FOLK TALES OF THE ARABS,Sep 26-Dec 10,TR,1600-1750,24,24,6,,,
NH,472,CL,GENERAL POOL CLASSROOM,RUS 444,FLAGSHIP STDS:GLOBALIZATIN TM1,Sep 26-Dec 10,WF,0900-1005,24,24,10,,,
,,,,,,,,,,,,,,
SEC,152,CL,GENERAL POOL CLASSROOM,PHE 576,PHYS ACTIVITY/HEALTH/DISEASE,Sep 26-Dec 10,M,1600-1830,24,20,5,,,
SEC,152,CL,GENERAL POOL CLASSROOM,UNST 421,CAP: GIRLPOWER,Sep 26-Dec 10,MW,1015-1235,24,16,16,,,
SEC,152,CL,GENERAL POOL CLASSROOM,WR 416,SCREENWRITING,Sep 26-Dec 10,T,1730-2110,24,16,11,,,
SEC,152,CL,GENERAL POOL CLASSROOM,LING 456,GRAD ORAL COMMUNICATION NNS,Sep 26-Dec 10,TR,1000-1150,24,20,5,,,
SEC,152,CL,GENERAL POOL CLASSROOM,MKTG 399,SPST: AD AGENCY INTERNSHIP I,Sep 26-Dec 10,W,1400-1550,24,15,10,,,
,,,,,,,,,,,,,,
SEH,103,CL,GENERAL POOL CLASSROOM,UNST 421,CAP: PERFORM ARTS ADVOCACY,Sep 26-Dec 10,MW,1245-1435,24,18,18,,,
SEH,103,CL,GENERAL POOL CLASSROOM,LING 136,SPEAKING/LISTENING LEVEL 3,Sep 26-Dec 10,TR,1000-1150,24,20,17,,,
SEH,103,CL,GENERAL POOL CLASSROOM,WR 461/ 561,BOOK EDITING,Sep 26-Dec 10,TR,1640-1830,24,16,16,,,
